Year,Cluster,Agency,Budget
2016,Food Assistance,WFP,3312409.0
2016,Agriculture,FAO,833373.0
2016,Food Assistance,WFP,1340302.0
2016,Food Assistance,WFP,2485459.0
2016,Food Assistance,WFP,814776.0
2016,Food Assistance,WFP,3990302.0
2016,Nutrition,WFP,750000.0
2016,Food Assistance,WFP,1228025.0
2016,Agriculture,FAO,419148.0
2016,Food Assistance,WFP,1637595.0
2016,Agriculture,FAO,593443.0
2016,Food Assistance,WFP,999744.0
2016,Nutrition,WFP,789986.0
2016,Agriculture,FAO,250000.0
2016,Food Assistance,WFP,1700002.0
2016,Agriculture,FAO,550001.0
2016,Food Assistance,WFP,719901.0
2016,Food Assistance,WFP,2000000.0
2016,Food Assistance,WFP,2170297.0
2016,Agriculture,FAO,535826.0
2016,Food Assistance,WFP,2028640.0
2016,Common Services,WFP,253590.0
2016,Food Assistance,WFP,3632115.0
2016,Agriculture,FAO,876097.0
2016,Food Assistance,WFP,1767870.0
2016,Agriculture,FAO,328811.0
2016,Agriculture,FAO,1128270.0
2016,Food Assistance,WFP,1000011.0
2016,Nutrition,WFP,106418.0
2016,Agriculture,FAO,700004.0
2016,Food Assistance,WFP,2303762.0
2016,Nutrition,WFP,908076.0
2016,Food Assistance,WFP,608270.0
2016,Agriculture,FAO,854787.0
2016,Agriculture,FAO,732497.0
2016,Food Assistance,WFP,3100957.0
2016,Nutrition,WFP,404663.0
2016,Agriculture,FAO,1000842.0
2016,Food Assistance,WFP,1496410.0
2016,Agriculture,FAO,159133.0
2016,Food Assistance,WFP,960107.0
2016,Nutrition,WFP,598755.0
2016,Nutrition,WFP,1000000.0
2016,Common Services,WFP,905006.0
2016,Agriculture,FAO,1500129.0
2016,Food Assistance,WFP,5995380.0
2016,Common Services,WFP,1000000.0
2016,Food Assistance,WFP,3999485.0
2016,Food Assistance,WFP,477815.0
2016,Agriculture,FAO,400000.0
2016,Food Assistance,WFP,4663270.0
2016,Nutrition,WFP,1382905.0
2016,Agriculture,FAO,941127.0
2016,Food Assistance,WFP,880645.0
2016,Agriculture,FAO,1500000.0
2016,Food Assistance,WFP,2004812.0
2016,Nutrition,WFP,3000004.0
2016,Common Services,WFP,379028.0
2016,Agriculture,FAO,899421.0
2016,Food Assistance,WFP,2025576.0
2016,Nutrition,WFP,414424.0
2016,Common Services,WFP,347322.0
2016,Food Assistance,WFP,756343.0
2016,Food Assistance,WFP,2801868.0
2016,Nutrition,WFP,846703.0
2016,Food Assistance,WFP,3875434.0
2016,Agriculture,FAO,665005.0
2016,Agriculture,FAO,1499619.0
2016,Food Assistance,WFP,3000130.0
2016,Nutrition,WFP,526973.0
2016,Agriculture,FAO,700000.0
2016,Food Assistance,WFP,1850000.0
2016,Nutrition,WFP,349838.0
2016,Agriculture,FAO,600612.0
2016,Food Assistance,WFP,3999795.0
2016,Nutrition,WFP,842492.0
2016,Common Services,WFP,1000000.0
2016,Food Assistance,FAO,784000.0
2016,Nutrition,WFP,2870000.0
2016,Agriculture,FAO,1396358.0
2016,Food Assistance,WFP,1000000.0
2016,Multi-Sector Refugee Assistance,WFP,1300000.0
2016,Food Assistance,WFP,5791119.0
2016,Food Assistance,WFP,1500004.0
2016,Food Assistance,WFP,2487750.0
2016,Agriculture,FAO,2000000.0
2016,Food Assistance,WFP,2200000.0
2016,Nutrition,WFP,2110000.0
2016,Nutrition,WFP,1000000.0
2016,Food Assistance,WFP,1499759.0
2016,Agriculture,FAO,800000.0
2016,Food Assistance,WFP,5500000.0
2016,Food Assistance,WFP,2000000.0
2016,Nutrition,WFP,1400001.0
2016,ALL,ALL,144740826.0
2017,Food Assistance,WFP,1405448.0
2017,Common Services,WFP,831313.0
2017,Food Assistance,WFP,6088657.0
2017,Agriculture,FAO,1000000.0
2017,Food Assistance,WFP,2000011.0
2017,Food Assistance,WFP,6000028.0
2017,Agriculture,FAO,444919.0
2017,Food Assistance,WFP,1393587.0
2017,Agriculture,FAO,746142.0
2017,Food Assistance,WFP,1559750.0
2017,Agriculture,FAO,209951.0
2017,Nutrition,WFP,2499922.0
2017,Agriculture,FAO,2428665.0
2017,Food Assistance,WFP,3790608.0
2017,Agriculture,FAO,299249.0
2017,Food Assistance,WFP,400210.0
2017,Common Services,WFP,800000.0
2017,Agriculture,FAO,3000004.0
2017,Nutrition,WFP,15011684.0
2017,Food Assistance,WFP,10000001.0
2017,Agriculture,FAO,1500000.0
2017,Nutrition,WFP,4000132.0
2017,Agriculture,FAO,717477.0
2017,Food Assistance,WFP,1033596.0
2017,Common Services,WFP,248517.0
2017,Agriculture,FAO,700000.0
2017,Agriculture,FAO,299884.0
2017,Food Assistance,WFP,300000.0
2017,Agriculture,FAO,750009.0
2017,Food Assistance,WFP,1671013.0
2017,Agriculture,FAO,400003.0
2017,Food Assistance,WFP,999849.0
2017,Nutrition,WFP,500000.0
2017,Common Services,WFP,750780.0
2017,Agriculture,FAO,288286.0
2017,Food Assistance,WFP,2243835.0
2017,Agriculture,FAO,560001.0
2017,Food Assistance,WFP,3696495.0
2017,Nutrition,WFP,2699899.0
2017,Nutrition,WFP,2780430.0
2017,Common Services,WFP,805376.0
2017,Agriculture,FAO,1199901.0
2017,Nutrition,WFP,954945.0
2017,Common Services,WFP,1300000.0
2017,Agriculture,FAO,615852.0
2017,Food Assistance,WFP,2633984.0
2017,Agriculture,FAO,1000000.0
2017,Food Assistance,WFP,14751543.0
2017,Common Services,WFP,1095172.0
2017,Agriculture,FAO,3000000.0
2017,Food Assistance,WFP,1600042.0
2017,Agriculture,FAO,400298.0
2017,Food Assistance,WFP,3603471.0
2017,Nutrition,WFP,600037.0
2017,Agriculture,FAO,700011.0
2017,Food Assistance,WFP,919912.0
2017,Common Services,WFP,2995664.0
2017,Common Services,WFP,1500000.0
2017,Multi-Sector,WFP,5663065.0
2017,Multi-Sector,FAO,154503.0
2017,Agriculture,FAO,556180.0
2017,Nutrition,WFP,2129998.0
2017,Agriculture,FAO,250000.0
2017,Food Assistance,WFP,700000.0
2017,Agriculture,FAO,1100000.0
2017,Food Assistance,WFP,2300001.0
2017,Nutrition,WFP,500427.0
2017,Agriculture,FAO,1931420.0
2017,Food Assistance,WFP,1924516.0
2017,Nutrition,WFP,677050.0
2017,Agriculture,FAO,2500000.0
2017,Food Assistance,WFP,1500311.0
2017,Common Services,WFP,600010.0
2017,Agriculture,FAO,2077500.0
2017,Food Assistance,WFP,4324678.0
2017,Food Assistance,WFP,4499671.0
2017,Nutrition,WFP,1704528.0
2017,Agriculture,FAO,4000000.0
2017,Food Assistance,WFP,3500750.0
2017,Nutrition,WFP,1750000.0
2017,Common Services,WFP,750000.0
2017,Agriculture,FAO,600001.0
2017,Food Assistance,WFP,5200002.0
2017,ALL,ALL,176621174.0
2018,Agriculture,FAO,2000000.0
2018,Food Assistance,WFP,5000000.0
2018,Nutrition,WFP,1362704.0
2018,Agriculture,FAO,1035022.0
2018,Food Assistance,WFP,2999616.0
2018,Nutrition,WFP,1980392.0
2018,Food Assistance,WFP,615018.0
2018,Agriculture,FAO,387475.0
2018,Food Assistance,WFP,1099998.0
2018,Agriculture,FAO,1558815.0
2018,Food Assistance,WFP,6264110.0
2018,Nutrition,WFP,1999199.0
2018,Common Services,WFP,227825.0
2018,Agriculture,FAO,672143.0
2018,Food Assistance,WFP,1342000.0
2018,Agriculture,FAO,499640.0
2018,Food Assistance,WFP,8982717.0
2018,Common Services,WFP,3756117.0
2018,Food Assistance,WFP,536002.0
2018,Nutrition,WFP,1496790.0
2018,Food Assistance,WFP,154598.0
2018,Agriculture,FAO,716790.0
2018,Agriculture,FAO,999926.0
2018,Common Services,WFP,1200212.0
2018,Agriculture,FAO,831847.0
2018,Food Assistance,WFP,1717708.0
2018,Common Services,WFP,1153061.0
2018,Agriculture,FAO,1500000.0
2018,Food Assistance,WFP,2700000.0
2018,Nutrition,WFP,600113.0
2018,Agriculture,FAO,1000000.0
2018,Food Assistance,WFP,975875.0
2018,Common Services,WFP,999998.0
2018,Agriculture,WFP,1199964.0
2018,Agriculture,FAO,1599998.0
2018,Food Assistance,WFP,2880090.0
2018,Agriculture,FAO,1365883.0
2018,Food Assistance,WFP,1000000.0
2018,Common Services,WFP,1560975.0
2018,Food Assistance,WFP,3235587.0
2018,Common Services,WFP,262874.0
2018,Agriculture,FAO,3016164.0
2018,Food Assistance,WFP,5149956.0
2018,Nutrition,WFP,1200979.0
2018,Common Services,WFP,600000.0
2018,Multi-Sector Refugee Assistance,WFP,500003.0
2018,Food Assistance,WFP,19989834.0
2018,Common Services,WFP,5500008.0
2018,Food Assistance,WFP,1058885.0
2018,Food Assistance,WFP,230175.0
2018,Food Assistance,WFP,900003.0
2018,Food Assistance,WFP,4750011.0
2018,Agriculture,FAO,360000.0
2018,Food Assistance,WFP,1099518.0
2018,Agriculture,FAO,501629.0
2018,Food Assistance,WFP,1500492.0
2018,Multi-Sector,WFP,2474440.0
2018,Agriculture,FAO,799842.0
2018,Food Assistance,WFP,2498676.0
2018,Nutrition,WFP,381090.0
2018,Agriculture,FAO,500000.0
2018,Nutrition,WFP,2745000.0
2018,Agriculture,FAO,4461914.0
2018,Food Assistance,WFP,3400000.0
2018,Common Services,WFP,999853.0
2018,Agriculture,FAO,476593.0
2018,Agriculture,FAO,984569.0
2018,Food Assistance,WFP,749901.0
2018,Agriculture,FAO,250000.0
2018,Food Assistance,WFP,1355986.0
2018,Common Services,WFP,850167.0
2018,Agriculture,FAO,1099960.0
2018,Food Assistance,WFP,1699841.0
2018,Nutrition,WFP,1200000.0
2018,Agriculture,FAO,2800432.0
2018,Food Assistance,WFP,1199936.0
2018,Nutrition,WFP,550238.0
2018,Agriculture,FAO,849997.0
2018,Food Assistance,WFP,1200000.0
2018,Agriculture,FAO,449999.0
2018,Nutrition,WFP,700001.0
2018,Agriculture,FAO,1440000.0
2018,Food Assistance,WFP,6350748.0
2018,Food Assistance,WFP,2200000.0
2018,Agriculture,FAO,784555.0
2018,Multi-Sector Refugee Assistance,WFP,4500000.0
2018,Food Assistance,WFP,3792763.0
2018,ALL,ALL,171575240.0
2019,Agriculture,FAO,743083.0
2019,Common Services,WFP,400000.0
2019,Agriculture,FAO,850002.0
2019,Food Assistance,WFP,1000000.0
2019,Food Assistance,WFP,1289088.0
2019,Common Services,WFP,559796.0
2019,Agriculture,FAO,359386.0
2019,Food Assistance,WFP,405798.0
2019,Common Services,WFP,129000.0
2019,Food Assistance,WFP,149962.0
2019,Agriculture,FAO,1499890.0
2019,Food Assistance,WFP,1000000.0
2019,Nutrition,WFP,1500000.0
2019,Agriculture,FAO,300000.0
2019,Agriculture,FAO,345000.0
2019,Food Assistance,WFP,958859.0
2019,Agriculture,FAO,6500000.0
2019,Agriculture,FAO,300031.0
2019,Food Assistance,WFP,711228.0
2019,Agriculture,FAO,1625000.0
2019,Food Assistance,WFP,3000000.0
2019,Common Services,WFP,1054807.0
2019,Agriculture,FAO,1300000.0
2019,Food Assistance,WFP,396000.0
2019,Nutrition,WFP,1000000.0
2019,Common Services,WFP,504000.0
2019,Agriculture,FAO,2342936.0
2019,Food Assistance,WFP,3686917.0
2019,Food Assistance,WFP,300000.0
2019,Common Services,WFP,1602143.0
2019,Food Assistance,WFP,6996866.0
2019,Nutrition,WFP,1591129.0
2019,Common Services,WFP,200070.0
2019,Agriculture,FAO,2399535.0
2019,Food Assistance,WFP,7667913.0
2019,Nutrition,WFP,454230.0
2019,Common Services,WFP,4494511.0
2019,Agriculture,FAO,300000.0
2019,Food Assistance,WFP,950000.0
2019,Nutrition,WFP,300000.0
2019,Food Assistance,WFP,900000.0
2019,Nutrition,WFP,300000.0
2019,Common Services,WFP,1147294.0
2019,Agriculture,FAO,2500000.0
2019,Food Assistance,WFP,2500000.0
2019,Nutrition,WFP,1500015.0
2019,Agriculture,FAO,100000.0
2019,Food Assistance,WFP,545280.0
2019,Nutrition,WFP,590720.0
2019,Agriculture,FAO,4749999.0
2019,Nutrition,WFP,3808700.0
2019,Agriculture,FAO,5964785.0
2019,Food Assistance,WFP,8500874.0
2019,Nutrition,WFP,5480245.0
2019,Common Services,WFP,1200000.0
2019,Agriculture,FAO,2602366.0
2019,Food Assistance,WFP,6191426.0
2019,Nutrition,WFP,271557.0
2019,Common Services,WFP,229493.0
2019,Common Services,WFP,949210.0
2019,Common Services,WFP,31666052.0
2019,Food Assistance,WFP,4360000.0
2019,Agriculture,FAO,800000.0
2019,Food Assistance,WFP,4900936.0
2019,Common Services,WFP,498009.0
2019,Nutrition,WFP,422360.0
2019,Agriculture,WFP,350020.0
2019,Agriculture,FAO,650000.0
2019,Agriculture,FAO,1155702.0
2019,Food Assistance,WFP,2501436.0
2019,Multi-purpose CASH,WFP,1002597.0
2019,Agriculture,WFP,1266240.0
2019,Agriculture,FAO,500000.0
2019,Food Assistance,WFP,1701510.0
2019,Nutrition,WFP,989250.0
2019,Common Services,WFP,999866.0
2019,Agriculture,FAO,758967.0
2019,Food Assistance,WFP,742038.0
2019,Agriculture,FAO,1861912.0
2019,Food Assistance,WFP,3386575.0
