entity,code,year,wheat_yield_gap,corn_yield_gap,rice_yield_gap,share_below_3_daily,kilo_cals_consumed_daily,trade_of_gdp,allocations,binary,wheat_yield_gap_lag1,wheat_yield_gap_lag2,wheat_yield_gap_lag3,corn_yield_gap_lag1,corn_yield_gap_lag2,corn_yield_gap_lag3,rice_yield_gap_lag1,rice_yield_gap_lag2,rice_yield_gap_lag3,share_below_3_daily_lag1,share_below_3_daily_lag2,share_below_3_daily_lag3,kilo_cals_consumed_daily_lag1,kilo_cals_consumed_daily_lag2,kilo_cals_consumed_daily_lag3,trade_of_gdp_lag1,trade_of_gdp_lag2,trade_of_gdp_lag3,famine_risk_score,predicted_famine
Venezuela,VEN,1992,4.2434998,1.6240001,1.0499997,6.884314,2511.2053,53.47614,,0,4.2818,4.2888,4.2208,1.7950001,2.03,2.429,0.5192995,2.2349997,2.1694996,7.2639627,12.285,11.336,2287.9587,2554.372,2732.8691,53.42732,42.305748,55.406406,0.9997992029311545,1
Pakistan,PAK,1998,2.5224001,2.3746996,2.737,50.284134,2219.1602,34.011726,,0,2.7416,2.9351,3.2007003,2.5715997,2.7585998,2.8402998,2.7615,3.3149,3.1535,45.318882,79.46474,80.62594,2258.8674,2239.8848,2155.021,38.330128,35.034576,32.897102,0.9997387499688214,1
Pakistan,PAK,2005,2.1742,1.1756997,2.4558,40.80809,2123.9485,29.878494,,0,2.3867002,2.4346,2.5224001,1.3111997,2.3968997,2.3746996,2.6386,2.8758001,2.737,40.866104,56.245186,50.284134,2119.574,2131.7979,2219.1602,24.808334,23.577208,34.011726,0.9994555323718025,1
Tajikistan,TJK,2021,1.9989998,0.0,0.0,9.067149,2710.877,71.825935,,0,2.0679998,2.0656998,2.7499998,0.0,0.26069927,6.1390996,2.0790997,5.0141997,6.2992997,13.330254,15.707685,24.190775,2421.444,2084.8965,2040.051,49.937817,85.978134,145.5281,0.9992610269611194,1
Uganda,UGA,2019,2.4487,3.0474002,5.6065,59.784378,2125.468,39.361053,6433012.0,1,2.489,2.6414,2.4033003,2.3623002,2.0104,2.0104,4.5402,4.2457,4.1574,60.105316,56.162113,63.549877,2026.3107,2308.6091,2292.559,31.209362,43.502136,47.063877,0.9971381932340341,1
Tanzania,TZA,2011,3.5296001,3.4597,4.7313995,51.53245,2295.371,56.166122,,0,3.4714003,4.1139,2.9,3.3729,2.8486001,3.5184002,4.3351994,4.8595,5.0459,61.875175,86.93736,73.4562,2198.134,1991.0048,2194.0583,48.058395,23.989115,30.231623,0.9957959136198139,1
Ecuador,ECU,2004,4.6947002,3.3158998,1.6712995,19.438683,2212.9634,56.074547,,0,4.702,4.8792,4.7999,3.5101995,3.7385998,4.0186996,2.0173995,2.2087998,2.3674996,18.855589,34.05278,26.933432,2186.8005,2256.8696,2295.6594,52.357544,65.4043,49.201252,0.9952834371584146,1
Mozambique,MOZ,2019,3.065,3.1069,4.8336,81.63159,2110.7837,105.59117,15016189.0,1,3.1,2.94,3.1515,3.1933,3.3723,3.2835,4.6294003,4.8472004,4.8541,74.3878,81.12763,87.56608,2040.5703,2257.6218,2079.9355,116.35686,64.981415,73.309166,0.995124890413198,1
Ecuador,ECU,2018,3.7858,1.5754995,2.2583995,4.6928425,2541.5408,48.009346,536002.0,1,4.2075996,3.975,4.7834997,1.1976995,1.6353996,0.73309946,2.1746,2.5275998,2.3543997,4.279495,4.9700646,4.7707906,2549.7742,2537.4006,2603.843,43.61772,40.534492,47.82804,0.9941343813397447,1
Madagascar,MDG,2005,1.9305999,3.4736,3.376,55.31215,1966.4911,59.130085,,0,1.8889999,1.9027998,1.77,4.091,4.1038,4.0832,3.8944,3.9616,3.9163,57.460075,78.52082,80.66997,1899.752,1913.5381,1930.8206,41.035126,40.92441,36.87375,0.9931488317635632,1
Brazil,BRA,1987,2.2346,3.0756998,4.2124996,25.50492,2703.645,16.262398,,0,2.5534,2.386,2.8613,3.4113998,3.1938,3.2989998,4.0889997,4.0519996,4.2630997,16.679659,32.419662,36.94343,2697.322,2642.7236,2610.8042,15.860654,20.449766,23.830074,0.9925988968819356,1
Ecuador,ECU,2005,4.778,3.0767999,1.9910998,15.378599,2236.7712,61.95815,,0,4.6947002,4.702,4.8792,3.3158998,3.5101995,3.7385998,1.6712995,2.0173995,2.2087998,19.438683,18.855589,34.05278,2212.9634,2186.8005,2256.8696,56.074547,52.357544,65.4043,0.9894390493061124,1
Venezuela,VEN,1999,2.6162999,0.7476001,0.13549948,16.7047,2329.172,42.070232,,0,2.9746997,4.2223,4.2434998,1.1103001,1.0699999,1.6240001,0.35329914,0.70379925,1.0499997,14.864723,15.14426,6.884314,2342.1968,2422.8333,2511.2053,43.599392,47.342342,53.47614,0.9891013440629352,1
Ecuador,ECU,2017,4.2075996,1.1976995,2.1746,4.279495,2549.7742,43.61772,,0,3.975,4.7834997,4.3796,1.6353996,0.73309946,1.7663996,2.5275998,2.3543997,2.7628996,4.9700646,4.7707906,3.9699283,2537.4006,2603.843,2601.2761,40.534492,47.82804,61.426376,0.9876968512684665,1
Madagascar,MDG,1999,1.9027998,4.1038,3.9616,78.52082,1913.5381,40.92441,,0,1.77,1.6032999,2.6549997,4.0832,4.1228,4.0225,3.9163,4.0118,4.3311,80.66997,83.05916,61.729996,1930.8206,2008.1166,2356.2214,36.87375,32.86589,30.26636,0.9856728787094761,1
Uganda,UGA,2016,2.489,2.3623002,4.5402,60.105316,2026.3107,31.209362,10175434.0,1,2.6414,2.4033003,2.4033003,2.0104,2.0104,2.9241002,4.2457,4.1574,5.05,56.162113,63.549877,72.403595,2308.6091,2292.559,2390.387,43.502136,47.063877,38.994286,0.9821041300568863,1
Uganda,UGA,1999,2.2367,2.7781,5.1529,80.60729,2273.2449,36.02471,,0,2.27,2.31,1.8698001,3.2103002,3.0100002,3.0600002,5.1362,5.19,5.1437,78.5472,79.88793,72.77,2147.7017,2220.35,2313.0127,35.385487,33.052143,26.047628,0.9818643820063788,1
