agencyName,continentName,countryCode,countryName,dateUSGSignature,emergencyTypeName,projectCode,projectID,projectTitle,regionName,tableName,totalAmountApproved,windowFullName,year,projectsectors,projectclusters,projectgroupings,projectcapcodes
Food and Agriculture Organization,Africa,DJI,Djibouti,2006-04-07,Drought,06-FAO-010-A,1,Immediate support to pastoral communities as a drought mitigation response,Eastern Africa,M,200000,Rapid Response,2006,Agriculture,Agriculture,,
Food and Agriculture Organization,Africa,ERI,Eritrea,2006-04-07,Drought,06-FAO-010-B,2,Immediate support to pastoral communities as a drought mitigation response,Eastern Africa,M,200000,Rapid Response,2006,Agriculture,Agriculture,,
Food and Agriculture Organization,Africa,ETH,Ethiopia,2006-04-07,Drought,06-FAO-010-C,3,"Immediate support to pastoral communities as a drought mitigation response
",Eastern Africa,M,400000,Rapid Response,2006,Agriculture,Agriculture,,
Food and Agriculture Organization,Africa,KEN,Kenya,2006-04-07,Drought,06-FAO-010-D,4,Immediate support to pastoral communities as a drought mitigation response,Eastern Africa,M,500000,Rapid Response,2006,Agriculture,Agriculture,,
Food and Agriculture Organization,Africa,SOM,Somalia,2006-04-07,Drought,06-FAO-010-E,5,Immediate support to pastoral communities as a drought mitigation response,Eastern Africa,M,600000,Rapid Response,2006,Agriculture,Agriculture,,
Food and Agriculture Organization,Africa,DJI,Djibouti,2006-05-02,Drought,06-FAO-024,6,Drought response in Djibouti,Eastern Africa,M,266355.16,Rapid Response,2006,Agriculture,Agriculture,,
Food and Agriculture Organization,Africa,ETH,Ethiopia,2006-05-02,Drought,06-FAO-031,7,To provide immediate support to agro-pastoral communities as a drought mitigation response.,Eastern Africa,M,349884.11,Rapid Response,2006,Agriculture,Agriculture,,
Food and Agriculture Organization,Africa,KEN,Kenya,2006-05-02,Drought,06-FAO-037,8,Emergency Animal Health,Eastern Africa,M,1065420.13,Rapid Response,2006,Agriculture,Agriculture,,
Food and Agriculture Organization,Africa,SOM,Somalia,2006-05-02,Drought,06-FAO-042,9,Immediate support to pastoral communities as a drought mitigation response,Eastern Africa,M,287663.58,Rapid Response,2006,Agriculture,Agriculture,,
Food and Agriculture Organization,Africa,SDN,Republic of the Sudan,2006-05-11,Multiple Emergencies,06-FAO-049,10,"Emergency Assistance to the Household Food sEcurity of War-affected population of Greater Darfur (North, South and West Darfur)",Northern Africa,M,1000000,Rapid Response,2006,Agriculture,Agriculture,,
