Year,Cluster,Agency,Budget
2021,Shelter and Non-Food Items,UNHCR,3727499
2021,Shelter and Non-Food Items,IOM,3500000
2021,Agriculture,FAO,12798461
2021,Health,WHO,26076000
2021,Health,UNICEF,21924000
2021,Nutrition,WFP,1100000
2021,Nutrition,UNICEF,1891000
2021,Water Sanitation Hygiene,UNICEF,4209000
2021,Common Services,WFP,5000000
2021,Agriculture,FAO,425000
2021,Health,WHO,345000
2021,Health,UNFPA,532001
2021,Nutrition,WFP,830000
2021,Nutrition,UNICEF,1187806
2021,Protection,UNFPA,168000
2021,Water Sanitation Hygiene,UNICEF,1511754
2021,Education,UNICEF,147728
2021,Shelter and Non-Food Items,UNHCR,939749
2021,Health,IOM,219999
2021,Protection,UNHCR,313250
2021,Protection,UNICEF,379872
2021,Camp Coordination / Management,IOM,3528001
2021,Shelter and Non-Food Items,UNHCR,1598000
2021,Shelter and Non-Food Items,IOM,3136000
2021,Food Assistance,WFP,999548
2021,Health,IOM,784000
2021,Protection,UNHCR,102000
2021,Protection,IOM,490000
2021,Water Sanitation Hygiene,UNICEF,1474920
2021,Water Sanitation Hygiene,IOM,1862000
2021,Shelter and Non-Food Items,UNHCR,2500000
2021,Shelter and Non-Food Items,IOM,500000
2021,Food Assistance,WFP,3002505
2021,Health,IOM,599999
2021,Protection,UNOPS,400000
2021,Protection,UNICEF,509478
2021,Water Sanitation Hygiene,UNICEF,1250010
2021,Common Services,WFP,247501
2021,Shelter and Non-Food Items,IOM,750000
2021,Food Assistance,WFP,525010
2021,Water Sanitation Hygiene,UNICEF,225000
2021,Agriculture,FAO,1654450
2021,Food Assistance,WFP,1845592
2021,Health,WHO,1000142
2021,Health,UNICEF,456000
2021,Health,UNFPA,650000
2021,Nutrition,UNICEF,1003200
2021,Protection,UNHCR,569999
2021,Protection,UNICEF,820800
2021,Shelter and Non-Food Items,UNHCR,270000
2021,Food Assistance,WFP,935492
2021,Health,WHO,350177
2021,Water Sanitation Hygiene,UNICEF,450643
2021,Health,WHO,2610031
2021,Health,UNICEF,396309
2021,Health,UNFPA,300000
2021,Health,IOM,500000
2021,Protection,UNICEF,468365
2021,Protection,UNFPA,0
2021,Water Sanitation Hygiene,UNICEF,936262
2021,Multi-Sector Refugee Assistance,UNHCR,1500000
2021,Multi-purpose CASH,WFP,5998971
2021,Multi-purpose CASH,FAO,1000000
2021,Camp Coordination / Management,UNHCR,1500000
2021,Camp Coordination / Management,IOM,3013000
2021,Education,UNICEF,2015000
2021,Shelter and Non-Food Items,IOM,4807000
2021,Agriculture,FAO,6647980
2021,Health,WHO,7128338
2021,Health,UNFPA,232004
2021,Nutrition,UNICEF,4500000
2021,Protection,UNHCR,1550008
2021,Protection,UNICEF,1740000
2021,Protection,UNFPA,5453382
2021,Water Sanitation Hygiene,UNICEF,10482480
2021,Common Services,UNDP,332556
2021,Common Services,WFP,1700000
2021,Common Services,IOM,480000
2021,Agriculture,FAO,500000
2021,Food Assistance,UN Women,80000
2021,Health,UNFPA,850205
2021,Protection,UN Women,7840001
2021,Protection,UNFPA,16153903
2021,Multi-purpose CASH,UN Women,80000
2021,Education,UNICEF,144000
2021,Food Assistance,WFP,252000
2021,Health,WHO,2400000
2021,Health,UNICEF,720000
2021,Health,IOM,900001
2021,Nutrition,UNICEF,198000
2021,Protection,UNICEF,270000
2021,Water Sanitation Hygiene,UNICEF,468000
2021,Common Services,WFP,648000
2021,Camp Coordination / Management,IOM,2113000
2021,Shelter and Non-Food Items,IOM,3137000
2021,Food Assistance,WFP,500000
2021,Health,WHO,1750000
2021,Nutrition,UNICEF,194597
2021,Protection,UNICEF,1303785
2021,Protection,UNFPA,500000
2021,Protection,IOM,550000
2021,Water Sanitation Hygiene,UNICEF,1623527
2021,Common Services,UNDP,211303
2021,Common Services,WFP,1000000
2021,Agriculture,FAO,500000
2021,Food Assistance,WFP,798000
2021,Health,WHO,250000
2021,Health,UNICEF,255102
2021,Health,UNFPA,99000
2021,Nutrition,WFP,602000
2021,Nutrition,UNICEF,612245
2021,Protection,UNICEF,178571
2021,Protection,UNFPA,201000
2021,Water Sanitation Hygiene,UNICEF,1505101
2021,Common Services,WFP,3998359
2021,Camp Coordination / Management,IOM,144725
2021,Shelter and Non-Food Items,UNHCR,230022
2021,Shelter and Non-Food Items,IOM,702949
2021,Food Assistance,WFP,1356999
2021,Health,WHO,309979
2021,Health,UNICEF,202705
2021,Health,UNFPA,104418
2021,Health,IOM,103375
2021,Nutrition,WFP,118000
2021,Nutrition,UNICEF,130311
2021,Protection,UNHCR,249189
2021,Protection,UNICEF,202706
2021,Protection,UNFPA,170367
2021,Protection,IOM,82700
2021,Water Sanitation Hygiene,UNICEF,912175
2021,Agriculture,FAO,2800000
2021,Food Assistance,WFP,3000000
2021,Health,WHO,1424117
2021,Health,UNICEF,1800000
2021,Health,UNFPA,403424
2021,Protection,UNFPA,605136
2021,Shelter and Non-Food Items,UN Women,41794
2021,Health,WHO,398288
2021,Health,UNFPA,141359
2021,Protection,UN Women,11788
2021,Protection,UNICEF,207639
2021,Protection,UNFPA,212038
2021,Water Sanitation Hygiene,UNICEF,47917
2021,Multi-purpose CASH,WFP,1864626
