Year,Cluster,Agency,Budget
2023,Camp Coordination / Management,IOM,300000
2023,Shelter and Non-Food Items,UNHCR,1404250
2023,Shelter and Non-Food Items,IOM,1680001
2023,Agriculture,WFP,3853666
2023,Agriculture,FAO,7000000
2023,Food Assistance,WFP,12499811
2023,Health,WHO,1500000
2023,Health,UNFPA,200000
2023,Protection,UNHCR,1352253
2023,Protection,UNICEF,495000
2023,Protection,UNFPA,700000
2023,Water Sanitation Hygiene,UNICEF,1005000
2023,Multi-purpose CASH,IOM,1020000
2023,Shelter and Non-Food Items,UNDP,550000
2023,Shelter and Non-Food Items,UNHCR,637000
2023,Shelter and Non-Food Items,IOM,148500
2023,Food Assistance,WFP,728860
2023,Health,WHO,369418
2023,Health,UNFPA,200000
2023,Health,IOM,401500
2023,Protection,UNHCR,63000
2023,Protection,UNICEF,293728
2023,Protection,UNFPA,200000
2023,Multi-purpose CASH,UNICEF,405624
2023,Camp Coordination / Management,UNHCR,1436500
2023,Camp Coordination / Management,WFP,127000
2023,Camp Coordination / Management,IOM,1436500
2023,Agriculture,FAO,500000
2023,Food Assistance,WFP,1500000
2023,Health,UNICEF,305000
2023,Health,UNFPA,165000
2023,Protection,UNICEF,305000
2023,Protection,UNFPA,789000
2023,Water Sanitation Hygiene,UNICEF,1500000
2023,Multi-Sector Refugee Assistance,IOM,1936000
2023,Agriculture,FAO,500000
2023,Food Assistance,WFP,3120000
2023,Health,WHO,508025
2023,Nutrition,UNICEF,876424
2023,Protection,UNOPS,250000
2023,Protection,UNICEF,350570
2023,Water Sanitation Hygiene,UNICEF,525854
2023,Common Services,WFP,2880000
2023,Health,UNFPA,500000
2023,Protection,UNHCR,2000000
2023,Protection,UNICEF,500000
2023,Common Services,WFP,999997
2023,Shelter and Non-Food Items,IOM,750000
2023,Agriculture,FAO,600000
2023,Food Assistance,WFP,1947501
2023,Health,WHO,1250084
2023,Health,UNFPA,150000
2023,Nutrition,WFP,202500
2023,Nutrition,UNICEF,576034
2023,Protection,UNICEF,350016
2023,Protection,UNFPA,350000
2023,Protection,IOM,450000
2023,Water Sanitation Hygiene,UNICEF,1674091
2023,Water Sanitation Hygiene,IOM,300000
2023,Common Services,WFP,802830
2023,Multi-Sector Refugee Assistance,UNHCR,4600002
2023,Camp Coordination / Management,UNHCR,0
2023,Camp Coordination / Management,IOM,656250
2023,Education,UNICEF,710946
2023,Shelter and Non-Food Items,UNHCR,3307405
2023,Shelter and Non-Food Items,UNICEF,382500
2023,Shelter and Non-Food Items,IOM,937500
2023,Agriculture,FAO,2130000
2023,Food Assistance,WFP,1200000
2023,Health,WHO,2250031
2023,Nutrition,UNICEF,540319
2023,Protection,UNHCR,280000
2023,Protection,UNICEF,850000
2023,Protection,UNFPA,2850001
2023,Water Sanitation Hygiene,UNICEF,4985067
2023,Multi-purpose CASH,WFP,2670000
2023,Agriculture,FAO,525000
2023,Food Assistance,WFP,798320
2023,Nutrition,WFP,375680
2023,Nutrition,UNICEF,616770
2023,Water Sanitation Hygiene,UNICEF,184230
2023,Health,WHO,750000
2023,Health,UNFPA,76598
2023,Health,IOM,80000
2023,Protection,UNHCR,1260000
2023,Protection,UNFPA,373981
2023,Protection,IOM,719998
2023,Water Sanitation Hygiene,UNICEF,599526
2023,Multi-purpose CASH,UNHCR,240000
2023,Multi-purpose CASH,WFP,1700000
2023,Shelter and Non-Food Items,UNHCR,679000
2023,Shelter and Non-Food Items,IOM,1750000
2023,Agriculture,FAO,1000000
2023,Food Assistance,UNHCR,678500
2023,Health,UNHCR,276000
2023,Health,WHO,3150000
2023,Health,UNFPA,649501
2023,Health,IOM,299000
2023,Nutrition,WFP,800000
2023,Nutrition,UNICEF,198000
2023,Protection,UNHCR,729000
2023,Protection,UNFPA,400502
2023,Protection,IOM,253000
2023,Water Sanitation Hygiene,UNHCR,937500
2023,Water Sanitation Hygiene,UNICEF,3498000
2023,Water Sanitation Hygiene,IOM,253000
2023,Common Services,IOM,989000
2023,Multi-purpose CASH,UNICEF,704000
2023,Multi-purpose CASH,IOM,3256000
2023,Agriculture,FAO,2500000
2023,Food Assistance,WFP,5000000
2023,Health,WHO,642200
2023,Nutrition,WHO,540800
2023,Nutrition,UNICEF,3099001
2023,Protection,OHCHR,299405
2023,Protection,WHO,507000
2023,Protection,UNICEF,615000
2023,Protection,UNFPA,2900000
2023,Water Sanitation Hygiene,UNICEF,1886000
2023,Education,UNICEF,108498
2023,Shelter and Non-Food Items,UNHCR,67287
2023,Health,WHO,100000
2023,Health,UNICEF,61204
2023,Health,UNFPA,138571
2023,Protection,UNICEF,27820
2023,Protection,UNFPA,24454
2023,Water Sanitation Hygiene,UNHCR,191508
2023,Water Sanitation Hygiene,UNICEF,80678
2023,Multi-purpose CASH,IOM,200000
2023,Shelter and Non-Food Items,UNHCR,1494000
2023,Shelter and Non-Food Items,IOM,1500000
2023,Health,WHO,3000000
2023,Protection,UNHCR,306000
2023,Protection,UNICEF,300000
2023,Protection,UNFPA,400000
2023,Water Sanitation Hygiene,UNICEF,3000000
2023,Agriculture,FAO,1400000
2023,Food Assistance,WFP,996000
2023,Health,WHO,350000
2023,Health,UNFPA,150000
2023,Nutrition,WFP,204000
2023,Nutrition,UNICEF,300000
2023,Protection,UNICEF,150000
2023,Protection,UNFPA,150000
2023,Water Sanitation Hygiene,UNICEF,300000
2023,Camp Coordination / Management,IOM,152000
2023,Shelter and Non-Food Items,UNHCR,500000
2023,Shelter and Non-Food Items,IOM,648000
2023,Food Assistance,WFP,896000
2023,Health,WHO,500011
2023,Health,UNICEF,270000
2023,Health,UNFPA,500000
2023,Nutrition,UNICEF,510000
2023,Protection,UN Women,300000
2023,Protection,UNICEF,419000
2023,Protection,UNFPA,600000
2023,Water Sanitation Hygiene,UNICEF,3701000
2023,Common Services,WFP,804011
2023,Agriculture,FAO,1260000
2023,Food Assistance,WFP,1800000
2023,Food Assistance,FAO,240000
2023,Nutrition,WFP,1200000
2023,Nutrition,UNICEF,1800000
2023,Water Sanitation Hygiene,UNICEF,700000
2023,Shelter and Non-Food Items,IOM,1300000
2023,Agriculture,FAO,800000
2023,Food Assistance,WFP,1199922
2023,Health,WHO,1240288
2023,Health,UNICEF,463950
2023,Health,UNFPA,300003
2023,Water Sanitation Hygiene,UNICEF,4691050
2023,Shelter and Non-Food Items,UNHCR,2610546
2023,Shelter and Non-Food Items,IOM,1500000
2023,Food Assistance,WFP,3000000
2023,Health,WHO,1500614
2023,Health,UNICEF,1204000
2023,Health,UNFPA,500000
2023,Protection,UNHCR,1845546
2023,Protection,UNICEF,1134500
2023,Protection,UNFPA,500000
2023,Water Sanitation Hygiene,UNICEF,3211500
2023,Agriculture,FAO,1000000
2023,Food Assistance,WFP,6000000
2023,Nutrition,UNICEF,2000000
2023,Shelter and Non-Food Items,UNRWA,3000000
2023,Food Assistance,WFP,2000000
2023,Health,WHO,2000000
2023,Health,UNICEF,1000000
2023,Water Sanitation Hygiene,UNICEF,1000000
2023,Common Services,UNRWA,3000000
2023,Camp Coordination / Management,IOM,375002
2023,Education,UNICEF,262919
2023,Shelter and Non-Food Items,IOM,750004
2023,Agriculture,FAO,410000
2023,Food Assistance,WFP,1500000
2023,Health,WHO,699142
2023,Health,UNICEF,154658
2023,Health,UNFPA,569727
2023,Nutrition,UNICEF,262919
2023,Protection,UNICEF,185590
2023,Protection,UNFPA,642459
2023,Water Sanitation Hygiene,UNICEF,680496
2023,Multi-purpose CASH,IOM,375001
2023,Camp Coordination / Management,UNHCR,930000
2023,Shelter and Non-Food Items,UNHCR,4170000
2023,Agriculture,FAO,3000000
2023,Health,WHO,4499945
2023,Health,UNICEF,2955000
2023,Health,UNFPA,1125000
2023,Health,IOM,690000
2023,Nutrition,WFP,3000000
2023,Nutrition,UNICEF,3060000
2023,Nutrition,IOM,465000
2023,Protection,UNHCR,900000
2023,Protection,UNFPA,2125000
2023,Protection,IOM,345000
2023,Water Sanitation Hygiene,UNICEF,4735000
2023,Common Services,UNDP,996137
2023,Common Services,WFP,6000489
2023,Multi-Sector Refugee Assistance,UNHCR,500000
2023,Multi-purpose CASH,IOM,2500000
2023,Shelter and Non-Food Items,WFP,322000
2023,Agriculture,FAO,400000
2023,Food Assistance,WFP,378000
2023,Health,WHO,400000
2023,Education,UNICEF,1000000
2023,Shelter and Non-Food Items,UNHCR,2000000
2023,Agriculture,FAO,5000000
2023,Food Assistance,WFP,4390000
2023,Food Assistance,FAO,1375000
2023,Health,WHO,5250000
2023,Nutrition,WFP,1485000
2023,Nutrition,UNICEF,1500000
2023,Protection,UNHCR,3000000
2023,Water Sanitation Hygiene,UNICEF,1800009
2023,Water Sanitation Hygiene,IOM,1200000
