Year,Donor,Donor type,Paid,Pledged,Total
2026,Algeria,Member State,0,20000,20000
2026,Armenia,Member State,5000,0,5000
2026,Australia,Member State,7347989,0,7347989
2026,Austria,Member State,0,1158748,1158748
2026,Azerbaijan,Member State,0,100000,100000
2026,Basque Agency for Development Cooperation,Regional/ Local Authorities,119060,0,119060
2026,Belgian Government of Flanders,Regional/ Local Authorities,0,695249,695249
2026,Belgium,Member State,0,19976498,19976498
2026,Cote d'Ivoire,Member State,0,10000,10000
2026,Cambodia,Member State,0,30000,30000
2026,Canada,Member State,0,21397379,21397379
2026,Catalan Agency for Development Cooperation,Regional/ Local Authorities,0,0,0
2026,Croatia,Member State,0,115874,115874
2026,Czech Republic,Member State,144418,0,144418
2026,Denmark,Member State,30179808,0,30179808
2026,Estonia,Member State,177025,0,177025
2026,Finland,Member State,0,0,0
2026,Germany,Member State,11869000,0,11869000
2026,Greece,Member State,0,231749,231749
2026,Iceland,Member State,0,877385,877385
2026,Indonesia,Member State,0,220000,220000
2026,Ireland,Member State,0,23043757,23043757
2026,Kuwait,Member State,1000000,0,1000000
2026,Liechtenstein,Member State,0,372208,372208
2026,Luxembourg,Member State,7621250,0,7621250
2026,Malta,Member State,46524,0,46524
2026,Monaco,Member State,236640,0,236640
2026,Morocco,Member State,0,50000,50000
2026,Netherlands,Member State,8207500,0,8207500
2026,New Zealand,Member State,1794000,0,1794000
2026,Norway,Member State,0,43988269,43988269
2026,Philippines,Member State,0,200000,200000
2026,Portugal,Member State,116830,0,116830
2026,"Private donations outside UN Foundation (under $10,000)",Private,0,0,0
2026,Qatar,Member State,1000000,0,1000000
2026,Russian Federation,Member State,1500000,0,1500000
2026,Saudi Arabia,Member State,0,1000000,1000000
2026,Slovenia,Member State,117220,0,117220
2026,Spain,Member State,0,0,0
2026,Sweden,Member State,0,10816657,10816657
2026,Switzerland,Member State,0,5000000,5000000
2026,Thailand,Member State,0,20000,20000
2026,Türkiye,Member State,0,700000,700000
2026,Qatar Charity,Private,0,2000000,2000000
